Titulo;Sección;Copetes;Link de acceso
Alberto FernÃ¡ndez repudiÃ³ el fallo de la Corte Suprema de Justicia;Nacionales;Juan Farias fue denunciado en Morillo por abusar de una menor de 13 aÃ±os en septiembre del 2022. La familia de la vÃ­ctima denunciÃ³ que el hombre fue liberado el sÃ¡bado luego de que el intendente, Atta Gerala, haya pagado la fianza.;https://www.nuevodiariodesalta.com.ar/noticias/el-pais-3/alberto-fernandez-repudio-el-fallo-de-la-corte-suprema-de-justicia-78269
Cachi: MuriÃ³ un guardaparques al caer de un precipicio;Seguridad;El presidente Alberto FernÃ¡ndez anunciÃ³ que enviarÃ¡ a la ComisiÃ³n de Juicio PolÃ­tico de la CÃ¡mara de Diputados el fallo del mÃ¡ximo tribunal sobre las elecciones provinciales en TucumÃ¡n y San Juan.;https://www.nuevodiariodesalta.com.ar/noticias/seguridad-5/cachi-murio-un-guardaparques-al-caer-de-un-precipicio-78274
Allanamientos, secuestros y detenciones en el Norte de la ciudad;Seguridad;9 de los 23 mandatarios del paÃ­s expresaron vÃ­a Twitter sus opiniones ante el fallo de la Corte Suprema de Justicia de la NaciÃ³n que suspendiÃ³ las elecciones previstas para este domingo en TucumÃ¡n y San Juan. Solo el gobernador jujeÃ±o se mostrÃ³ a favor del fallo.;https://www.nuevodiariodesalta.com.ar/noticias/seguridad-5/allanamientos-secuestros-y-detenciones-en-el-norte-de-la-ciudad-78273
Se habilitÃ³ el paso en el nuevo puente sobre el RÃ­o Arenales;Salta;El Ministerio PÃºblico Fiscal confirmÃ³ que el hombre de 42 aÃ±os cayÃ³ desde la altura y perdiÃ³ la vida. Interviene la fiscal VerÃ³nica Simesen de Bielke.;https://www.nuevodiariodesalta.com.ar/noticias/salta-1/se-habilito-el-paso-en-el-nuevo-puente-sobre-el-rio-arenales-78270
"Jaldo: ""Vamos a acatar el fallo de la Corte""";Nacionales;Esta maÃ±ana, efectivos de la ComisarÃ­a NÂ°11 de barrio 17 de Octubre, llevaron a cabo cuatro allanamientos en zona norte de la ciudad. La investigaciÃ³n estÃ¡ vinculada a cinco denuncias realizadas por vecinos de barrio Juan Manuel de Rosas que fueron vÃ­ctimas de diversos ilÃ­citos. Como resultado, se secuestraron elementos vinculados a las causas y dos personas fueron puestas a disposiciÃ³n de la justica.;https://www.nuevodiariodesalta.com.ar/noticias/el-pais-3/jaldo-vamos-a-acatar-el-fallo-de-la-corte-78267
"UÃ±ac: ""Los sanjuaninos somos mansos pero no estÃºpidos""";Nacionales; La obra conecta de manera eficiente y rÃ¡pida Ã¡reas de escala metropolitana y urbana de la ciudad y genera vÃ­as alternativas para disminuir la congestiÃ³n vehicular de avenida Paraguay.;https://www.nuevodiariodesalta.com.ar/noticias/el-pais-3/uniac-los-sanjuaninos-somos-mansos-pero-no-estupidos-78266
Por cortes programados de Edesa esta semana se verÃ­an afectados cruces semaforizados;Salta;"El vicegobernador de TucumÃ¡n y candidato a gobernador por el Frente de Todos asegurÃ³ que su espacio entiende que ""este fallo es inoportuno, porque faltan cuatro dÃ­as para la elecciÃ³n"".";https://www.nuevodiariodesalta.com.ar/noticias/salta-1/por-cortes-programados-de-edesa-esta-semana-se-verian-afectados-cruces-semaforizados-78264
HÃ©ctor Baldassi confesÃ³ que un dirigente le ofreciÃ³ dinero antes de un partido;Deportes;El ex Ã¡rbitro contestÃ³ sin vueltas la pregunta de un periodista y remarcÃ³ que durante su carrera siempre aplicÃ³ los valores que le enseÃ±Ã³ su padre;https://www.infobae.com/ultimas-noticias//deportes/2023/05/11/hector-baldassi-confeso-que-un-dirigente-le-ofrecio-dinero-antes-de-un-partido/
Juicio por la Masacre de Monte y un testigo clave: â€œMe decÃ­an que habÃ­a escuchado â€˜contraexplosionesâ€™ de motos, no disparosâ€;Sociedad;HÃ©ctor Mensi, el chofer del camiÃ³n contra el que chocÃ³ el Fiat 147 tras la persecuciÃ³n, dio detalles del accionar de los cuatro policÃ­as aquella madrugada;https://www.infobae.com/ultimas-noticias//sociedad/policiales/2023/05/11/juicio-por-la-masacre-de-monte-y-un-testigo-clave-me-decian-que-habia-escuchado-contraexplosiones-de-motos-no-disparos/
Estados Unidos alertÃ³ por importantes deficiencias en auditorÃ­as de empresas chinas que cotizan en la Bolsa;Internacionales;Estas firmas representan el 40% de la cuota de mercado de las compaÃ±Ã­as en Wall Street y las fallas fueron tan graves que se desconocen sus estados financieros reales;https://www.infobae.com/ultimas-noticias//estados-unidos/2023/05/11/estados-unidos-alerto-por-importantes-deficiencias-en-auditorias-de-empresas-chinas-que-cotizan-en-la-bolsa/
Nueve detenidos por entraderas, tenencia de armas y narcomenudeo en San MartÃ­n;Sociedad;Se secuestrÃ³ hasta un uniforme de la PolicÃ­a Bonaerense en los mÃºltiples allanamientos. Entre los sospechosos arrestados hay dos adolescentes;https://www.infobae.com/ultimas-noticias//sociedad/policiales/2023/05/11/nueve-detenidos-por-entraderas-tenencia-de-armas-y-narcomenudeo-en-san-martin/
EscÃ¡ndalo en el ascenso: un dirigente de Quilmes golpeÃ³ brutalmente al conductor de la ambulancia por festejar el triunfo de Mitre;Deportes;SebastiÃ¡n Sierra, secretario del fÃºtbol profesional, agrediÃ³ al personal que se encontraba dentro del estadio durante el partido que protagonizÃ³ el Cervecero en Santiago del Estero por la fecha de la Primera Nacional;https://www.infobae.com/ultimas-noticias//deportes/2023/05/11/escandalo-en-el-ascenso-un-dirigente-de-quilmes-golpeo-brutalmente-al-conductor-de-la-ambulancia-por-festejar-el-triunfo-de-mitre/
Jubilaciones: Anunciaron aumento y un refuerzo por tres meses;Economía;El ministro de EconomÃ­a, Sergio Massa, y la titular de Anses, Fernanda Raverta, anunciaron que el aumento serÃ¡ del 20,92%. Informaron un refuerzo para quienes cobren dos mÃ­nimas y un bono por tres meses para quienes cobren la mÃ­nima.;https://www.elonce.com/secciones/economicas/755524-jubilaciones-anunciaron-aumento-y-un-refuerzo-por-tres-meses.htm
Quini 6: 5 apostadores ganaron mÃ¡s de $8.400.000 y hay grandes pozos vacantes;Sociedad;No se registraron ganadores con todos los aciertos en ninguna de las modalidades mÃ¡s importantes del Quini 6. El prÃ³ximo domingo se sortearÃ¡n 850.000.000 millones de pesos. Los nÃºmeros que salieron y todos los detalles.;https://www.elonce.com/secciones/sociedad/755536-quini-6-5-apostadores-ganaron-ms-de-8400000-y-hay-grandes-pozos-vacantes.htm
Patronato-Temperley: cÃ³mo serÃ¡ la venta de entradas;Deportes;El club rojinegro comunicÃ³ este miÃ©rcoles los detalles de la venta de tickets, para el encuentro ante Temperley por la fecha 16 de la Primera Nacional. Menores de 11 aÃ±os ingresarÃ¡n gratis.;https://www.elonce.comhttps://superdeportivo.elonce.com/notas/patronato-temperley-cnmo-serna-la-venta-de-entradas.htm
Â¿CÃ³mo es el feriado extra largo del 25 de mayo?: quiÃ©nes pueden disfrutarlo;Sociedad;El feriado del 25 de mayo recuerda al surgimiento del primer Gobierno Patrio. Decretaron jornada no laborable el viernes 26, por lo que se arma un fin de semana largo de cuatro dÃ­as. QuiÃ©nes pueden disfrutarlo.;https://www.elonce.com/secciones/sociedad/755515-cmo-es-el-feriado-extra-largo-del-25-de-mayo-quines-pueden-disfrutarlo.htm
"Siniestros viales en ParanÃ¡: ""Un factor muy determinante es la imprudencia""";Policiales;Ricardo Galliussi, jefe de DivisiÃ³n de AccidentologÃ­a Vial de la DirecciÃ³n CriminalÃ­stica de Entre RÃ­os, dijo a Elonce que es fundamental â€œrespetar las normas de trÃ¡nsito y entender las tÃ©cnicas de manejo defensivoâ€.;https://www.elonce.com/secciones/policiales/755533-siniestros-viales-en-paran-un-factor-muy-determinante-es-la-imprudencia.htm
El FdT porteño repudió la suspensión de las elecciones en Tucumán y San Juan: “Es una intromisión en el proceso democrático”;Política;El bloque de legisladores afirmó que la Corte Suprema se convirtió en el “instrumento político de Juntos por el Cambio para condicionar la democracia”. Por otro lado;https://www.infobae.com/politica/2023/05/10/el-fdt-porteno-repudio-la-suspension-de-las-elecciones-en-tucuman-y-san-juan-es-una-intromision-en-el-proceso-democratico/
Inauguraron un nuevo gasoducto que conectará a la red de gas natural a municipios bonaerenses;Economía;La obra demandó una inversión de $2.400 millones de la empresa Camuzzi. El ministro de Economía Sergio Massa y el gobernador Axel Kicillof participaron de la apertura;https://www.infobae.com/economia/2023/05/10/inauguraron-un-nuevo-gasoducto-que-conectara-a-la-red-de-gas-natural-a- municipios-bonaerenses/
Una casa en el country donde viven los suegros de Messi, el nexo entre la lavadora narco acribillada en Rosario y Alvarado;Policiales;Valeria Nasca y su pareja, mano derecha del capo preso en Ezeiza, eran dueños de la propiedad, aunque nunca vivieron allí. La estrategia para hacer pasar como legal que eran testaferros y los documentos del caso;https://www.infobae.com/sociedad/policiales/2023/05/10/una- casa-en-el-country-donde-viven-los-padres-de-messi-el-nexo- entre-la-lavadora-narco-acribillada-en-rosario-y-alvarado/
Pablo Solari habló del penal que definió el Superclásico: por qué para él no hay dudas de que hubo infracción;Deportes;El extremo sintió el contacto en su pierna derecha, cayó al suelo en el minuto 90 del Superclásico y el árbitro otorgó la pena máxima que Miguel Borja aprovechó para estampar el 1-0 final;https://www.infobae.com/deportes/2023/05/10/pablo-solari- hablo-del-penal-que-definio-el-superclasico-por-que-para-el-no- hay-dudas-de-que-hubo-infraccion/
Según un reconocido médico, Emmily Rodrigues pudo haber sufrido una crisis alucinógena en la casa de Sáenz Valiente;Policiales;El doctor Carlos Damín, jefe de toxicología del Hospital Fernández, plantea la posibilidad del “delirio fatal agitado” a causa del consumo de drogas como ketamina, cocaína y MDMA;https://www.infobae.com/sociedad/policiales/2023/05/10/segun- un-reconocido-medico-emmily-rodrigues-pudo-haber-sufrido-una- crisis-alucinogena-en-la-casa-de-saenz-valiente/
El BCRA compró solo USD 1 millón, en su cuarta rueda seguida con saldo a favor en el mercado;Economía;Las liquidaciones por dólar soja se duplicaron respecto del martes, a USD 97,1 millones. En mayo la entidad monetaria acumula ventas netas por USD 263 millones;https://www.infobae.com/economia/2023/05/10/el-bcra- compro-solo-usd-1-millones-en-su-cuarta-rueda-seguida-con- saldo-a-favor-en-el-mercado/
Elecciones 2023, en vivo: “Hoy la Corte es un instrumento de poder para el partido minoritario”, señaló Wado De Pedro;Política;Se acerca el momento de definiciones a menos de dos meses para el cierre de las listas de frentes y postulantes y del inicio formal de la campaña. Las últimas novedades de la política nacional;https://www.infobae.com/politica/2023/05/10/elecciones-2023- en-vivo-fechas-candidatos-encuestas-resultados-y-todos-los- detalles-minuto-a-minuto/
Los simpatizantes del Milan cantaron la versión italiana de “Muchachos” en la derrota ante Inter en la semifinal de la Champions League;Deportes;Los fanáticos del Rossonero se hicieron sentir en el Giuseppe Meazza y entonaron “Bandito”, el tema que estrenaron luego del Mundial de Qatar en honor a la selección argentina;https://www.infobae.com/deportes/2023/05/10/los- simpatizantes-del-milan-cantaron-la-version-italiana-de- muchachos-en-la-derrota-ante-inter-en-la-semifinal-de-la- champions-league/
Aumentos de gas y luz: cuánto va a tener que pagar un hogar tipo con las subas de hasta el 500% anual;Economía;Este mes varios incrementos impactarán en las facturas de energía eléctrica y gas natural, especialmente para los usuarios que por la segmentación tarifaria quedaron dentro del Nivel 1 o de altos ingresos;https://www.infobae.com/economia/2023/05/10/aumentos-de-
Violento robo al futbolista de Boca Juniors Cristian Medina;Deportes;El mediocampista de 21 años se encontraba junto a su novia en la zona de Castelar;https://www.infobae.com/deportes/2023/05/10/violento-robo- al-futbolista-de-boca-juniors-cristian-medina/
Alberto Fernández y las cadenas nacionales: entre el antecedente de la pandemia y la obsesión con la Justicia;Politica;Después de los diversos períodos de cuarentena por el Covid 19, el presidente recurrió cuatro veces más a vía de comunicación, tres de ellas por temas relacionados con la Justicia y una por el día de la soberanía desde la Antártida;https://www.lanacion.com.ar/politica/alberto-fernandez-y-las- cadenas-nacionales-entre-el-antecedente-de-la-pandemia-y-la- obsesion-con-la-nid10052023/
Inter-Milan: dos goles en tres minutos en el arranque de la segunda semifinal, con un gran movimiento de distracción de Lautaro Martínez;Deportes;El bosnio Edin Dzeko anotó el 1-0 a los 8, con una gran definición de aire en un tiro de esquina, y Henrij Mjitaryan aumentó la diferencia enseguida, con el argentino como coprotagonista;https://www.lanacion.com.ar/deportes/futbol/inter-milan-dos- goles-en-tres-minutos-en-el-arranque-de-la-segunda-semifinal- nid10052023/
Cambio de piloto en una petrolera en la Argentina;Economía;Andrés Cavallari asumió como CEO de Raízen Argentina, licenciataria de la marca Shell, en reemplazo de Teófilo Lacroze;https://www.lanacion.com.ar/economia/cambio-de-piloto-en- una-petrolera-en-la-argentina-nid10052023/
Max Verstappen les respondió a los fanáticos que lo insultaron y lo abuchearon en el Gran Premio de Miami de Fórmula 1;Deportes;Sucedió tras la victoria del neerlandés en el Hard Rock Stadium;https://www.lanacion.com.ar/deportes/automovilismo/max- verstappen-les-respondio-a-los-fanaticos-que-lo-insultaron-y-lo- abuchearon-en-el-gran-premio-de-nid10052023/
Giro de Italia: un perro se metió en la ruta y el campeón mundial Remco Evenepoel intentó esquivarlo y terminó en el piso, en una etapa llena de golpes;Deportes;"El belga, que había cedido el liderazgo el martes, cayó al asfalto resbaladizo y estuvo unos minutos recuperándose antes de retomar la carrera; Mark Cavendish pasó la línea de llegada deslizándose en el suelo";https://www.lanacion.com.ar/deportes/ciclismo/giro-de-italia-un-
Fernando Landa: “El swap no es un mecanismo para lograr mayores exportaciones”;Economía;El presidente de la cámara de exportadores habla sobre las nuevas disposiciones para cubrir el exceso de gasto público;https://www.lanacion.com.ar/economia/comercio-
El comercio exterior navega en un mar de obstáculos financieros y operativos;Economía;"Las restricciones cambiarias del Banco Central generan complicaciones extremas para el intercambio de bienes; esta vez son las navieras las que están en el ojo de la tormenta";https://www.lanacion.com.ar/economia/comercio-exterior/el- comercio-exterior-navega-en-un-mar-de-obstaculos-financieros-y- operativos-nid27042023/
Crece la apuesta por los camiones eléctricos;Economía;El e-Delivery, que llegará al mercado local durante el segundo semestre de este año, es presentado por Volkswagen como protagonista y modelo del transporte urbano. (bajada);https://www.lanacion.com.ar/economia/comercio-exterior/crece- la-apuesta-por-los-camiones-electricos-nid03052023/
A la hora de exportar, el nuevo dólar agro es una zanahoria, pero también un látigo;Economía;La medida, de compleja instrumentación, tiene beneficios económicos, pero también plazos perentorios que si no se cumplen pueden derivar en la suspensión del registro aduanero;https://www.lanacion.com.ar/economia/comercio-exterior/a-la- hora-de-exportar-el-nuevo-dolar-agro-es-una-zanahoria-pero- tambien-un-latigo-nid21042023/
Emilce Terré: “Los productores agropecuarios van a necesitar financiamiento este año”;Economía;La economista jefe de la Bolsa de Comercio de Rosario habla de la difícil y atípica situación que vive el complejo agroindustrial;https://www.lanacion.com.ar/economia/comercio- exterior/emilce-terre-los-productores-agropecuarios-van-a- necesitar-financiamiento-este-ano-nid20042023/
Las tropas de Ucrania atravesaron un flanco ruso y recuperan territorio cerca de Bakhmut;Internacionales;Las fuerzas ucranianas hicieron retroceder a los rusos Los comandantes militares de Las Fuerzas de Ucrania, anunciaron este miércoles que sus tropas atravesaron las posiciones rusas en el flanco sur de la asediada ciudad oriental de Bakhmut, lo que obligó a las unidades rusas a huir masivamente.Funcionarios del ejército ucraniano y el jefe del grupo de milicianos Wagner de Rusia, dijeron que las tropas rusas perdieron un área de aproximadamente más de 3 kilómetros cuadrados al suroeste de la ciudad. Esta sería la primera victoria significativa para Ucrania en la lucha por Bakhmut desde que expulsó a las fuerzas rusas de una carretera de acceso clave hace dos meses.La Tercera Brigada Separada de Asalto de las fuerzas armadas de Ucrania confirmó que uno de los escuadrones rusos que intentan tomar el control total de la ciudad de Bakhmut abandonó sus posiciones dejando atrás “500 cadáveres”.“Es oficial. La información de (el líder de la compañía militar privada rusa Wagner, Yevgueni) Prigozhin sobre la huida de la Brigada Separada Mecanizada número 72 de las fuerzas armadas rusas y sobre ‘los 500 cadáveres’ que los rusos dejaron allí es cierta”, se lee en el mensaje publicado en la cuenta oficial de la brigada ucraniana.Ucrania difundió escenas de un repliegue de las tropas enemigasEn uno de sus vídeos sobre la situación en el frente, Prigozhin había acusado previamente a la brigada 72 del ejército ruso de abandonar sus posiciones tras perder “tres kilómetros cuadrados” en una zona “estratégica” en la que los rusos perdieron a 500 hombres. “Cogieron sus cosas y huyeron sin más”, dijo Prigozhin.En su mensaje, la Tercera Brigada Separada del ejército de Ucrania asegura haber eliminado en dos días a 64 combatientes rusos y herido a otros 87 en el sureste de Bakhmut, donde las fuerzas ucranianas siguen defendiendo la zona de la ciudad que todavía controlan.“Entre las bajas rusas hay mercenarios del grupo Wagner”, dice la nota de la brigada ucraniana, que también informa de la captura de 5 prisioneros de guerra rusos y de la destrucción de material bélico de los invasores.Rusia aseguró hoy que frena los contraataques ucranianos en los flancos de la ciudad de Bakhmut después de que el Grupo Wagner afirmara que una unidad de las Fuerzas Armadas rusas había huido el lunes de sus posiciones.“Las subdivisiones de las tropas Aerotransportadas frenan las acciones del enemigo en los flancos”, señaló en su parte bélico diario el portavoz del Ministerio de Defensa, teniente general Ígor Konashénkov.Aseguró además que los destacamentos de asalto, en referencia a los mercenarios del Grupo Wagner, “continuaron las operaciones ofensivas para capturar barrios en las afueras del noroeste y oeste de la ciudad de Artiómovsk (nombre ruso de Bakhmut)”.Las declaraciones de Konashénkov se producen después de que el jefe del Grupo Wagner, Yevgueni Prigozhin, acusara al Ministerio de Defensa de “hacer todo lo posible para que el frente se derrumbe”, al afirmar que una unidad del Ejército regular ruso “huyó y abandonó sus posiciones” en uno de los flancos.Indicó que tomar ese flanco costó la vida de 500 wagneritas y ahora se quedó sin protección un área de casi 2 kilómetros de ancho y 500 kilómetros de profundidad.(Con información de EFE)Seguir leyendo:El humillante momento en que una brigada rusa huye de Bakhmut en el Día de la VictoriaUcrania advirtió que la evacuación del personal de la planta nuclear de Zaporizhzhia ocupada por Rusia provocará una catástrofeJordan Peterson, el idiota poco útil de PutinMurió un periodista de la agencia de noticias AFP tras ser alcanzado por un bombardeo en UcraniaTemas RelacionadosBakhmutUcraniaGuerra Rusia-Ucrania;https://www.infobae.com//america/mundo/2023/05/10/las-tropas-de-ucrania-atravesaron-un-flanco-ruso-y-recuperan-territorio-cerca-de-bakhmut/
